drug_id,drug_name,generic_names,trade_names,drug_type
PA166413004,valemetostat,"(2R)-7-chloro-2-[4-(dimethylamino)cyclohexyl]-N-[(4,6-dimethyl-2-oxo-1H-pyridin-3-yl)methyl]-2,4-dimethyl-1,3-benzodioxole-5-carboxamide",Unknown,Drug
PA10227,valganciclovir,"""Cymeval"", ""L-valine, ester with ganciclovir"", ""valganciclovir""","Valcyt, Valcyte",Prodrug
PA151917011,valinomycin,Unknown,Unknown,Drug
PA451846,valproic acid,"2-propylvaleric acid, DPA, Di-n-propylacetic acid, Di-n-propylessigsaure, Dipropylacetic acid, Kyselina 2-propylvalerova, Myproic Acid, Propylvaleric acid, Sodium hydrogen divalproate, VPA, Valproate semisodique [French], Valproate semisodium, Valproato semisodico [Spanish], Valproatum seminatricum [Latin], n-DPA, n-Dipropylacetic acid, valproate, valproic acid","Alti-Valproic, Avugane, Baceca, Convulex, Delepsine, Depacon, Depakene, Depakine, Depakote, Deproic, Dom-Valproic, Epilex, Epilim, Epival, Ergenyl, Med Valproic, Mylproin, Novo-Valproic, Nu-Valproic, PMS-Valproic Acid, Penta-Valproic, Sprinkle, Stavzor, Valcote, Valparin, Valproic acid USP, Valproic acid USP24",Drug
PA164748616,valrubicin,Antibiotic Ad 32,"Valstar, Valstar Preservative Free",Drug
PA451848,valsartan,valsartan,"Diovan, Diovan HCT, Valsarran",Drug
PA164924565,valspodar,Unknown,Unknown,Drug
PA166337402,vamorolone,"""(8S,10S,13S,14S,16R,17R)-17-hydroxy-17-(2-hydroxyacetyl)-10,13,16-trimethyl-7,8,12,14,15,16-hexahydro-6H-cyclopenta[a]phenanthren-3-one"", ""17,21-dihydroxy-16alpha-methylpregna-1,4,9(11)-triene-3,20-dione""",Unknown,Drug
PA451850,vancomycin,Vancomycin HCL,"Vancocin, Vancocin HCL, Vancoled, Vancor",Drug
PA166118341,vandetanib,Unknown,"CAPRELSA, ZACTIMA, ZD6474",Drug
PA166128169,vaniprevir,Unknown,Unknown,Drug
